rhx,rhy,rhz,rwx,rwy,rwz,rex,rey,rez,lhx,lhy,lhz,lwx,lwy,lwz,lex,ley,lez,sx,sy,sz,hx,hy,hz,timestamp,phase rh,phase lh,phase rhlh
5.649888,4.948205,1.929078,5.630331,4.674529,1.957953,5.598236,3.859276,2.085472,3.657758,5.08778,1.915218,3.69799,4.787203,1.928118,3.602928,3.950287,2.034574,4.659894,4.049478,2.073195,4.700538,1.2677,2.090567,5905763,Rest,Rest,Rest
5.648046,4.945509,1.929739,5.630954,4.672278,1.95885,5.601921,3.866563,2.085149,3.657724,5.092159,1.914053,3.69821,4.791885,1.927215,3.614134,3.963106,2.033401,4.659225,4.051369,2.073234,4.700654,1.267591,2.090551,5905794,Rest,Rest,Rest
5.646962,4.944099,1.930471,5.633657,4.670101,1.959378,5.617007,3.838502,2.089154,3.650366,5.103432,1.913952,3.704517,4.802752,1.924538,3.624741,3.974173,2.03098,4.658753,4.054168,2.073207,4.701142,1.266829,2.090678,5905825,Rest,Rest,Rest
5.645577,4.945623,1.932068,5.635855,4.668864,1.959968,5.628959,3.820895,2.09127,3.622988,5.124893,1.916725,3.710557,4.827871,1.919951,3.633039,3.985811,2.029124,4.655138,4.059959,2.073157,4.702034,1.266624,2.090791,5905856,Rest,Rest,Rest
5.644921,4.945622,1.932592,5.637123,4.668628,1.960427,5.634658,3.81087,2.092479,3.610175,5.132963,1.91694,3.714256,4.841159,1.91958,3.640757,3.997769,2.027821,4.653836,4.065548,2.073118,4.702414,1.266548,2.090892,5905888,Rest,Rest,Rest
5.645032,4.946247,1.932368,5.637372,4.6708,1.960817,5.635766,3.813826,2.092508,3.608574,5.130344,1.915596,3.715571,4.840021,1.919729,3.645804,4.004018,2.027146,4.653727,4.066685,2.073117,4.702867,1.265929,2.091017,5905935,Rest,Rest,Rest
5.642178,4.945478,1.932787,5.63653,4.670192,1.961321,5.63564,3.811231,2.093196,3.607309,5.130012,1.91553,3.715342,4.840082,1.919716,3.644869,4.001463,2.027378,4.652613,4.068294,2.073022,4.703643,1.265478,2.091022,5905966,Rest,Rest,Rest
5.642345,4.945693,1.932799,5.635542,4.671367,1.961695,5.631667,3.822681,2.092517,3.61337,5.128009,1.913367,3.711825,4.836308,1.920828,3.645046,3.999593,2.027965,4.651643,4.068466,2.07309,4.703661,1.265395,2.090918,5905997,Rest,Rest,Rest
5.641948,4.946149,1.932508,5.633792,4.672675,1.961715,5.615558,3.838961,2.090472,3.620902,5.127402,1.912761,3.70602,4.832442,1.921556,3.641037,3.994719,2.028372,4.650808,4.069717,2.073247,4.704116,1.265521,2.091009,5906028,Rest,Rest,Rest
5.642251,4.94669,1.932381,5.631469,4.673602,1.961702,5.605623,3.835291,2.090897,3.626434,5.124825,1.910429,3.700863,4.830207,1.922832,3.639548,3.996562,2.028195,4.651751,4.070557,2.073488,4.705173,1.265573,2.091342,5906060,Rest,Rest,Rest
