svrhxyz,svrwxyz,phase rhlh
4.869051898424042e-06,1.9494260134455446e-06,D
3.6194429332769834e-06,1.2444511157250796e-06,D
6.486371553168917e-07,3.8508618914458864e-07,D
2.225077007515627e-07,2.7436945090682575e-07,D
1.6530143575730674e-07,1.274693016730176e-07,D
2.155523695814405e-07,2.485840494491666e-07,D
3.2911254076412437e-07,2.813274261070595e-07,D
2.458736285319264e-06,2.72829458428068e-06,D
2.238336848451002e-06,2.516873453502782e-06,D
2.3978005293852533e-06,2.797198606574697e-06,D
6.387803248667958e-07,1.1168241703282972e-07,D
9.436143380777979e-07,6.088212843095028e-07,D
1.0561353073192476e-06,7.11170437172593e-07,D
1.8025697334044976e-07,1.2882347740128125e-07,D
2.7444830961545385e-07,1.6266690426111768e-07,D
0.00010734228893652396,4.145524157572006e-07,D
0.00012004360847288651,4.086587514066978e-08,D
0.0001218590940407167,8.01254979321491e-08,D
2.0478101259801726e-08,1.6075534315458421e-07,D
1.3318489143058866e-07,4.5435868446713294e-07,D
0.0001253131983150424,2.787661649357856e-07,D
0.00012288710556560223,3.822753076445053e-08,D
0.00011820565040334896,1.832117547985539e-08,D
1.0031625703912995e-07,1.1057424213510422e-07,D
2.4701000546434246e-07,2.2443516801715944e-07,D
4.835079851908219e-07,1.9540847186397658e-07,D
3.5081614048846525e-07,1.1082470101857795e-07,D
1.1874672472899062e-07,8.517685213543402e-08,D
9.712599801359305e-05,1.7928316216523867e-07,D
9.932132608392029e-05,5.98446166112616e-07,D
3.1445512495154988e-06,7.164319714905729e-07,D
9.369695420223907e-05,9.654901516731111e-07,D
9.132470541407873e-05,1.988169653047887e-07,D
3.277186168395493e-07,9.184100257722825e-08,D
1.4627070783855324e-06,1.1753588132686882e-06,D
1.6036400195340422e-06,1.541982941140377e-06,D
4.774432186651818e-07,2.8950559607075114e-07,D
3.9664404628215297e-07,2.4543530767914665e-07,D
2.442889449145155e-07,1.9113675310390117e-07,D
9.279931993779808e-07,8.984900845918311e-08,D
3.195821730143954e-07,6.3372375980079774e-09,D
0.0001622677297359075,1.3007451822720344e-08,D
0.00014999868034439205,6.579091858147703e-08,D
0.0001532729540370382,5.459251198356627e-09,D
4.314032288682417e-07,7.195854914986593e-08,D
2.184354302737327e-07,1.7179089273406297e-08,D
1.9525346268396366e-07,1.0376785782202941e-07,D
1.3401480191222602e-07,5.188681231944805e-08,D
2.657737595562473e-07,3.8996268492776955e-08,D
3.375340691283264e-07,5.978976641924727e-08,D
2.7584029561514854e-07,9.665389732891548e-08,D
1.5805811637583415e-07,5.677336243569581e-08,D
3.0192255211359505e-07,1.636881021613262e-07,D
1.4502486419308293e-06,2.652099195168596e-07,D
8.771642953608988e-06,2.7444526577514685e-07,D
6.296430763297035e-06,3.9669396993711055e-07,D
4.3485409973621704e-06,9.324677567767701e-08,D
1.9789793682689264e-07,2.747195002198951e-07,D
4.6707877880783283e-07,3.319056086526584e-07,D
2.764842295333745e-07,2.102230051995152e-07,D
1.0235607130768544e-06,1.054071699229746e-07,D
4.915488957028778e-07,2.82657807818506e-07,D
