rhx;rhy;rhz;rwx;rwy;rwz;rex;rey;rez;lhx;lhy;lhz;lwx;lwy;lwz;lex;ley;lez;sx;sy;sz;hx;hy;hz;timestamp;phase rh;phase lh;phase rhlh
7.201.674;5.286.028;19.013;7.181.917;4.852.216;1.921.825;7.096.005;3.789.945;2.027.539;5.088.231;5.065.722;1.883.525;5.123.864;4.763.804;1.909.103;5.138.383;3.815.795;200.396;6.139.586;3.876.546;2.034.937;6.013.702;1.209.176;2.046.177;5319147;Rest;Rest;Rest
7.202.109;5.282.118;1.901.449;7.181.949;4.848.267;1.921.985;7.094.829;3.781.178;2.027.757;5.088.541;5.060.513;1.883.566;5.122.173;4.758.518;1.909.241;5.137.347;3.810.781;2.004.232;6.139.628;3.876.414;2.034.898;6.012.138;1.209.862;2.045.975;5319209;Rest;Rest;Rest
7.206.672;5.277.262;1.901.181;7.181.499;4.844.165;1.922.314;7.095.844;3.770.353;2.028.597;5.089.901;5.041.784;1.884.506;511.991;4.739.567;1.910.339;5.130.942;3.792.046;2.005.476;6.135.935;3.873.061;2.034.693;6.008.823;1.211.272;2.045.144;5319303;Rest;Rest;Rest
720.939;5.270.461;1.901.637;7.180.631;4.837.468;192.274;709.502;3.779.803;2.027.873;5.089.776;5.037.707;1.884.577;5.118.222;4.735.429;1.910.482;512.948;3.788.021;2.005.677;6.134.571;3.873.261;203.454;6.008.021;1.211.631;2.045.053;5319319;Rest;Rest;Rest
7.207.691;5.269.906;1.901.085;7.180.487;4.837.397;1.922.723;7.094.809;3.779.639;2.027.827;5.090.384;5.034.257;1.884.653;5.117.727;4.732.038;1.910.662;5.127.786;3.784.003;2.005.573;6.133.388;3.873.098;2.034.403;6.005.686;1.211.831;2.044.782;5319334;Rest;Rest;Rest
7.207.714;5.270.091;190.104;718.049;4.837.449;1.922.634;7.094.704;3.782.764;2.027.563;5.090.519;5.032.921;188.432;5.117.108;473.103;1.910.539;5.127.642;3.783.152;2.005.527;6.132.981;3.871.253;2.034.376;6.004.935;1.212.522;2.044.514;5319366;Rest;Rest;Rest
7.208.023;5.269.896;1.901.044;7.180.453;4.837.191;1.922.634;7.093.451;3.785.538;2.027.086;5.089.705;5.041.556;1.883.186;5.116.556;4.740.056;1.909.603;5.127.852;3.792.324;2.004.663;6.132.846;3.871.243;2.034.357;6.005.848;1.213.116;2.044.567;5319397;Rest;Rest;Rest
7.208.016;5.267.942;1.901.147;7.180.919;4.834.988;1.922.626;7.092.873;3.780.894;2.027.241;5.089.411;5.038.167;1.883.509;5.116.384;4.736.387;1.909.821;5.126.731;3.788.067;2.004.615;613.262;3.871.362;2.034.299;6.005.164;1.214.017;2.044.377;5319444;Rest;Rest;Rest
7.208.745;5.265.902;1.901.181;7.180.951;4.832.897;1.922.648;7.091.334;3.764.553;2.028.286;5.090.907;5.036.139;1.883.702;5.115.885;4.733.486;190.972;512.565;3.785.295;200.458;6.132.524;3.871.041;2.034.239;6.004.581;1.214.424;2.044.292;5319475;Rest;Rest;Rest
72.095;5.265.744;1.901.087;7.180.989;4.832.794;1.922.627;7.087.487;3.796.363;202.485;5.090.453;503.409;1.883.812;5.115.331;473.112;1.909.716;512.537;37.829;200.457;6.131.344;3.870.712;2.034.071;6.004.877;1.214.359;2.044.255;5319506;Rest;Rest;Rest
