precision_d,recall_d,fscore_d,precision_p,recall_p,fscore_p,precision_h,recall_h,fscore_h,precision_s,recall_s,fscore_s,precision_r,recall_r,fscore_r,execution,kernel,c,gamma,characteristic type,characteristic,articulation point,window,label position
62.818,100.0,0.772,100.0,1.299,0.026,0.0,0.0,0.0,75.967,90.754,0.827,28.571,12.698,0.176,1,rbf,1,0.03125,escalar,aceleracao,rh,10,meio
63.874,98.919,0.776,100.0,2.597,0.051,0.0,0.0,0.0,75.348,92.214,0.829,35.484,17.46,0.234,2,rbf,1,0.0625,escalar,aceleracao,rh,10,meio
64.065,95.405,0.767,43.75,9.091,0.151,0.0,0.0,0.0,72.461,90.268,0.804,40.0,19.048,0.258,3,rbf,1,0.125,escalar,aceleracao,rh,10,meio
72.667,88.378,0.798,37.5,11.688,0.178,0.0,0.0,0.0,61.066,91.971,0.734,81.25,20.635,0.329,4,rbf,1,0.25,escalar,aceleracao,rh,10,meio
75.897,80.0,0.779,23.684,11.688,0.157,0.0,0.0,0.0,54.627,89.051,0.677,81.818,14.286,0.243,5,rbf,1,0.5,escalar,aceleracao,rh,10,meio
84.814,80.0,0.823,25.0,9.091,0.133,0.0,0.0,0.0,52.011,91.241,0.663,90.909,15.873,0.27,6,rbf,1,1,escalar,aceleracao,rh,10,meio
90.683,78.919,0.844,5.556,1.299,0.021,0.0,0.0,0.0,50.928,93.431,0.659,20.0,4.762,0.077,7,rbf,1,2,escalar,aceleracao,rh,10,meio
95.851,62.432,0.756,18.182,2.597,0.045,0.0,0.0,0.0,46.635,96.107,0.628,0.0,0.0,0.0,8,rbf,1,4,escalar,aceleracao,rh,10,meio
97.701,45.946,0.625,0.0,0.0,0.0,0.0,0.0,0.0,43.957,100.0,0.611,0.0,0.0,0.0,9,rbf,1,8,escalar,aceleracao,rh,10,meio
100.0,18.649,0.314,0.0,0.0,0.0,0.0,0.0,0.0,39.519,100.0,0.567,0.0,0.0,0.0,10,rbf,1,16,escalar,aceleracao,rh,10,meio
65.094,93.243,0.767,16.949,12.987,0.147,0.0,0.0,0.0,68.938,83.698,0.756,66.667,22.222,0.333,11,rbf,50,0.03125,escalar,aceleracao,rh,10,meio
64.229,87.838,0.742,15.942,14.286,0.151,0.0,0.0,0.0,65.107,81.265,0.723,100.0,23.81,0.385,12,rbf,50,0.0625,escalar,aceleracao,rh,10,meio
72.893,86.486,0.791,15.686,20.779,0.179,0.0,0.0,0.0,61.194,79.805,0.693,100.0,30.159,0.463,13,rbf,50,0.125,escalar,aceleracao,rh,10,meio
74.026,61.622,0.673,12.883,54.545,0.208,0.0,0.0,0.0,66.966,72.506,0.696,63.636,22.222,0.329,14,rbf,50,0.25,escalar,aceleracao,rh,10,meio
83.088,61.081,0.704,11.144,49.351,0.182,0.0,0.0,0.0,66.949,76.886,0.716,45.833,17.46,0.253,15,rbf,50,0.5,escalar,aceleracao,rh,10,meio
91.837,60.811,0.732,12.5,40.26,0.191,0.0,0.0,0.0,56.998,82.238,0.673,47.826,17.46,0.256,16,rbf,50,1,escalar,aceleracao,rh,10,meio
92.975,60.811,0.735,9.009,12.987,0.106,0.0,0.0,0.0,50.338,90.511,0.647,29.412,7.937,0.125,17,rbf,50,2,escalar,aceleracao,rh,10,meio
98.19,58.649,0.734,12.088,14.286,0.131,0.0,0.0,0.0,49.109,93.917,0.645,0.0,0.0,0.0,18,rbf,50,4,escalar,aceleracao,rh,10,meio
98.765,43.243,0.602,25.0,6.494,0.103,0.0,0.0,0.0,44.337,100.0,0.614,0.0,0.0,0.0,19,rbf,50,8,escalar,aceleracao,rh,10,meio
100.0,22.973,0.374,0.0,0.0,0.0,0.0,0.0,0.0,40.453,100.0,0.576,0.0,0.0,0.0,20,rbf,50,16,escalar,aceleracao,rh,10,meio
65.53,93.514,0.771,17.647,15.584,0.166,0.0,0.0,0.0,68.623,82.482,0.749,84.211,25.397,0.39,21,rbf,100,0.03125,escalar,aceleracao,rh,10,meio
66.258,87.568,0.754,14.865,14.286,0.146,0.0,0.0,0.0,63.689,79.805,0.708,95.0,30.159,0.458,22,rbf,100,0.0625,escalar,aceleracao,rh,10,meio
