frame,verdadeiro,classificado,rotulo_d,saida_d,rotulo_p,saida_p,rotulo_h,saida_h,rotulo_s,saida_s,rotulo_r,saida_r
1,D,D,D,-1.245,NP,-1.0557,NH,1.1119,NS,-1.3896,NR,-1.6169
2,D,D,D,-1.2173,NP,-1.0375,NH,1.1045,NS,-1.4298,NR,-1.5463
3,D,D,D,-1.4936,NP,-1.0318,NH,1.1112,NS,-1.3931,NR,-1.7526
4,D,D,D,-1.7736,NP,-1.0322,NH,1.1075,NS,-1.3525,NR,-1.9818
5,D,D,D,-1.8987,NP,-1.0114,NH,1.0994,NS,-1.244,NR,-2.1511
6,D,D,D,-1.9632,NP,-1.0008,NH,1.0872,NS,-1.1721,NR,-2.2509
7,D,D,D,-2.153,NP,-0.9867,NH,1.0759,NS,-1.279,NR,-2.3428
8,D,D,D,-2.229,NP,-0.9934,NH,1.0693,NS,-1.2239,NR,-2.3887
9,D,D,D,-2.3977,NP,-0.9708,NH,1.0607,NS,-1.1973,NR,-2.5614
10,D,D,D,-2.2993,NP,-0.9671,NH,1.0517,NS,-1.1275,NR,-2.4998
11,D,D,D,-2.2749,NP,-0.9154,NH,1.0505,NS,-1.0597,NR,-2.4935
12,D,D,D,-2.3014,NP,-0.9254,NH,1.0424,NS,-0.9678,NR,-2.5637
13,D,D,D,-2.3733,NP,-0.9079,NH,1.0396,NS,-0.963,NR,-2.7272
14,D,D,D,-2.3693,NP,-0.9027,NH,1.0343,NS,-0.8256,NR,-2.9034
15,D,D,D,-2.2239,NP,-0.892,NH,1.0268,NS,-0.7527,NR,-2.9028
16,D,D,D,-2.155,NP,-0.9184,NH,1.0241,NS,-0.7113,NR,-2.9201
17,D,D,D,-2.1022,NP,-0.9258,NH,1.0244,NS,-0.7054,NR,-2.9611
18,D,D,D,-2.0644,NP,-0.903,NH,1.0261,NS,-0.7305,NR,-2.9501
19,D,D,D,-2.0624,NP,-0.9074,NH,1.0266,NS,-0.6902,NR,-2.9862
20,D,D,D,-2.0323,NP,-0.9128,NH,1.0269,NS,-0.7038,NR,-3.0095
21,D,D,D,-2.0306,NP,-0.9108,NH,1.0278,NS,-0.7224,NR,-3.0014
