rhx,rhy,rhz,rwx,rwy,rwz,rex,rey,rez,lhx,lhy,lhz,lwx,lwy,lwz,lex,ley,lez,sx,sy,sz,hx,hy,hz,timestamp,phase rh,phase lh,phase rhlh
7.201674,5.286028,1.9013,7.181917,4.852216,1.921825,7.096005,3.789945,2.027539,5.088231,5.065722,1.883525,5.123864,4.763804,1.909103,5.138383,3.815795,2.00396,6.139586,3.876546,2.034937,6.013702,1.209176,2.046177,5319147,Rest,Rest,Rest
7.202109,5.282118,1.901449,7.181949,4.848267,1.921985,7.094829,3.781178,2.027757,5.088541,5.060513,1.883566,5.122173,4.758518,1.909241,5.137347,3.810781,2.004232,6.139628,3.876414,2.034898,6.012138,1.209862,2.045975,5319209,Rest,Rest,Rest
7.206672,5.277262,1.901181,7.181499,4.844165,1.922314,7.095844,3.770353,2.028597,5.089901,5.041784,1.884506,5.11991,4.739567,1.910339,5.130942,3.792046,2.005476,6.135935,3.873061,2.034693,6.008823,1.211272,2.045144,5319303,Rest,Rest,Rest
7.20939,5.270461,1.901637,7.180631,4.837468,1.92274,7.09502,3.779803,2.027873,5.089776,5.037707,1.884577,5.118222,4.735429,1.910482,5.12948,3.788021,2.005677,6.134571,3.873261,2.03454,6.008021,1.211631,2.045053,5319319,Rest,Rest,Rest
7.207691,5.269906,1.901085,7.180487,4.837397,1.922723,7.094809,3.779639,2.027827,5.090384,5.034257,1.884653,5.117727,4.732038,1.910662,5.127786,3.784003,2.005573,6.133388,3.873098,2.034403,6.005686,1.211831,2.044782,5319334,Rest,Rest,Rest
7.207714,5.270091,1.90104,7.18049,4.837449,1.922634,7.094704,3.782764,2.027563,5.090519,5.032921,1.88432,5.117108,4.73103,1.910539,5.127642,3.783152,2.005527,6.132981,3.871253,2.034376,6.004935,1.212522,2.044514,5319366,Rest,Rest,Rest
7.208023,5.269896,1.901044,7.180453,4.837191,1.922634,7.093451,3.785538,2.027086,5.089705,5.041556,1.883186,5.116556,4.740056,1.909603,5.127852,3.792324,2.004663,6.132846,3.871243,2.034357,6.005848,1.213116,2.044567,5319397,Rest,Rest,Rest
7.208016,5.267942,1.901147,7.180919,4.834988,1.922626,7.092873,3.780894,2.027241,5.089411,5.038167,1.883509,5.116384,4.736387,1.909821,5.126731,3.788067,2.004615,6.13262,3.871362,2.034299,6.005164,1.214017,2.044377,5319444,Rest,Rest,Rest
7.208745,5.265902,1.901181,7.180951,4.832897,1.922648,7.091334,3.764553,2.028286,5.090907,5.036139,1.883702,5.115885,4.733486,1.90972,5.12565,3.785295,2.00458,6.132524,3.871041,2.034239,6.004581,1.214424,2.044292,5319475,Rest,Rest,Rest
7.2095,5.265744,1.901087,7.180989,4.832794,1.922627,7.087487,3.796363,2.02485,5.090453,5.03409,1.883812,5.115331,4.73112,1.909716,5.12537,3.7829,2.00457,6.131344,3.870712,2.034071,6.004877,1.214359,2.044255,5319506,Rest,Rest,Rest
7.209346,5.252768,1.901412,7.183744,4.820295,1.923542,7.084957,3.767977,2.026878,5.09015,5.033009,1.883826,5.114858,4.729912,1.909708,5.124958,3.781438,2.004444,6.130223,3.869203,2.034096,6.003799,1.2147,2.044084,5319537,Rest,Rest,Rest
